Region,Site Name,Location,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Greater Accra,Korle Bu,Urban,0,2,1,7,7,2,0
Greater Accra,Adabraka,Urban,0,3,4,5,3,0,0
Greater Accra,Maamobi,Urban,1,3,6,8,0,0,0
Greater Accra,Dangme East,Rural,0,4,3,8,2,0,0
Greater Accra,Tema,Urban,0,1,7,0,0,0,0
Volta,Ho,Urban,2,5,1,4,2,0,0
Volta,Hohoe,Urban,0,0,2,2,1,0,0
Volta,Krachi,Rural,1,1,1,0,1,0,0
Volta,North Tongu,Rural,0,1,2,2,0,1,0
Eastern,Afram Plains,Rural,0,1,2,0,1,0,0
Eastern,Akim Oda,Rural,0,0,0,1,0,0,0
Eastern,Fanteakwa,Rural,1,1,1,4,1,0,1
Eastern,Agormanya,Urban,1,6,11,5,5,3,0
Eastern,Koforidua,Urban,0,2,4,4,3,0,0
Central,Asikuma Odoben Brakwa,Rural,0,0,1,2,0,1,0
Central,Assin Fosu,Urban,0,2,2,3,4,0,0
Central,Cape Coast,Urban,0,2,2,1,2,3,0
Western,Eikwe,Rural,0,1,3,2,2,0,0
Western,Sefwi Asafo,Rural,0,1,6,1,0,0,0
Western,Takoradi,Urban,0,0,4,3,7,0,0
Western,Tarkwa,Rural,1,2,3,1,1,1,0
Ashanti,Obuasi,Urban,1,2,6,8,3,0,0
Ashanti,Amansie West,Rural,1,2,3,3,2,2,0
Ashanti,Kumasi,Urban,0,2,2,5,5,0,0
Ashanti,Mampong,Urban,2,0,2,2,1,0,0
Brong Ahafo,Asunafo,Rural,0,0,1,4,2,0,0
Brong Ahafo,Kintampo,Rural,0,0,0,0,0,0,0
Brong Ahafo,Sunyani,Urban,0,0,7,10,2,0,0
Brong Ahafo,Wenchi,Urban,0,0,0,1,2,0,0
Northern,Salaga,Rural,0,0,1,2,0,0,0
Northern,Nalerigu,Urban,0,2,3,2,0,0,0
Northern,Tamale,Urban,0,0,1,1,2,0,0
Northern,Adibo,Rural,1,2,2,4,0,0,0
Upper East,Bawku,Urban,0,3,3,4,2,0,0
Upper East,Bolgatanga,Urban,0,2,2,2,1,0,0
Upper East,Builsa,Rural,0,0,0,0,0,0,0
Upper East,Navrongo,Urban,0,1,3,2,1,0,0
Upper West,Jirapa,Urban,0,2,2,0,0,0,0
Upper West,Nadowli,Rural,0,1,0,0,1,0,0
Upper West,Wa,Urban,1,1,2,4,3,0,0
